fiscal_year,provider,co2_factor_t_per_kwh,valid_from,valid_to
2022,tepco,0.000457,2022-01-01,2022-12-31
2023,tepco,0.000453,2023-01-01,2023-12-31
2024,tepco,0.000441,2024-01-01,2024-12-31
2025,tepco,0.000441,2025-01-01,2025-12-31
2026,tepco,0.000441,2026-01-01,2026-12-31
